OBJECTID,* Damage,* Street Number,* Street Name,"* Street Type (e.g. road, drive, lane, etc.)",* City,State,Zip Code,* CAL FIRE Unit,County,Community,Incident Start Date,Hazard Type,Structure Defense Actions Taken,* Structure Type,Structure Category,# Units in Structure (if multi unit),* Roof Construction,* Eaves,* Vent Screen,* Exterior Siding,* Window Pane,* Deck/Porch On Grade,* Deck/Porch Elevated,* Patio Cover/Carport Attached to Structure,* Fence Attached to Structure,Distance - Propane Tank to Structure,Distance - Residence to Utility/Misc Structure &gt; 120 SQFT,Assessed Improved Value (parcel),Year Built (parcel),Site Address (parcel),Latitude,Longitude
77333,No Damage,400.0,Timber,Lane,Markleeville ,CA,96120.0,AEU,Alpine,,7/4/2021 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,Wood,Wood,No Patio Cover/Carport,Non Combustible,0-10,>50',167776.0,,400 TIMBER LN MARKLEEVILLE CA 96120,38.6892996494508,-119.79887783502
30752,Destroyed (>50%),1383.0,Wagstaff,Road,Paradise Northwest A,CA,,BTU,Butte,Paradise ,11/8/2018 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Asphalt,Unknown,No Vents,Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,Combustible,No Fence,,,43027.0,1940.0,1383  WAGSTAFF RD   PARADISE CA 95969,39.778227754328,-121.594667298082
18359,No Damage,3780.0,Wallace Creek,Road,,CA,,LNU,Sonoma,Healdsburg ,8/16/2020 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,76500.0,1913.0,3780 WALLACE CREEK RD HEALDSBURG CA 95448,38.6031518038035,-122.931387735263
110011,Destroyed (>50%),350.0,Deodara,Drive,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Asphalt,Unknown,Unknown,Stucco Brick Cement,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,30-50',321649.0,1960.0,"350 DEODARA DR, ALTADENA, CA 91001",34.1896143,-118.1418657
54238,No Damage,,,,,CA,,BTU,Butte,,11/8/2018 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,, , , , , , , , ,,,,88721.0,1974.0,6077 LAUREL DR PARADISE CA 95969,39.7662264808068,-121.633858261577
5265,No Damage,0.0,Lloyd Meadow,Road,,CA,0.0,TUU,Tulare,Springville,8/19/2020 12:00:00 AM,Fire,Combination of Actions,Commercial Building Single Story,Nonresidential Commercial,0.0,Metal,No Eaves,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,>30,,0.0,0.0,   ,36.1387805459381,-118.479282332443
62610,Destroyed (>50%),0.0,Valdor,,Junction City,CA,0.0,SHU,Trinity,,8/30/2017 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,,,,,, , , ,,,,27189.0,,420 Valdor Rd CA 96048,40.7653077808116,-123.076042126738
126976,Destroyed (>50%),669.0,Las Lomas,Avenue,Pacific Palisades,CA,90272.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Asphalt,Unknown,"Mesh Screen > 1/8""""",Wood,Single Pane,Masonry/Concrete,Masonry/Concrete,Unknown,Unknown,,,341347.0,1938.0,"669 LAS LOMAS AVE, PACIFIC PALISADES, CA 90272",34.048009,-118.5391638
33891,Destroyed (>50%),6667.0,Shay,Lane,Paradise Northeast B,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,,Asphalt,Enclosed,"Mesh Screen <= 1/8""""",Ignition Resistant,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,,<30',211038.0,1976.0,6667  SHAY LN   PARADISE CA 95969,39.7774143301457,-121.570962574128
19537,No Damage,3450.0,Chile’s Pope Valley ,Road,,CA,,LNU,Napa,,8/16/2020 12:00:00 AM,Fire,,Multi Family Residence Multi Story,Multiple Residence,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,1683443.0,1994.0,3450 CHILES POPE VALLEY RD SAINT HELENA CA 94574,38.5497915187932,-122.340566469092
97784,No Damage,35.0,Bear,Drive,Mt Baldy,CA,91759.0,LAC,Los Angeles,,9/8/2024 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,0.0,Asphalt,Unenclosed,No Vents,Wood,Multi Pane,Composite,Composite,Combustible,No Fence,,,36963.0,1973.0,"35 BEAR DR, MT BALDY, CA 91759",34.2343835,-117.6605926
65377,Destroyed (>50%),9659.0,Foothill,Boulevard,Los Angeles,CA,0.0,LAC,Los Angeles,Sylmar,12/5/2017 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Combustible,Unenclosed,No Vents,Combustible,Single Pane, , , ,,,,206300.0,1954.0,9659 FOOTHILL BLVD SYLMAR CA 91342,34.2741016471894,-118.33824654268
99538,No Damage,3226.0,Serra ,Road,Malibu,CA,90265.0,LAC,Los Angeles,,12/9/2024 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,3.0,Metal,No Eaves,Unknown,Wood,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,1456560.0,1978.0,"3226 SERRA RD, MALIBU, CA 90265",34.0474362,-118.6775652
3953,Destroyed (>50%),85.0,Justamere,Lane,,CA,0.0,BTU,Butte,Berry Creek,9/9/2020 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,0.0,Metal,No Eaves,No Vents,Metal,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,16972.0,1977.0,"85 JUSTAMERE LN, BERRY CREEK CA 95916",39.6214057332904,-121.376554034834
1646,Destroyed (>50%),30900.0,106th ,Street,,CA,,LAC,Los Angeles,,9/6/2020 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,0.0,Metal,Unknown,Unknown,Stucco Brick Cement,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,,,10735 ROSS RD LITTLEROCK CA 93543,34.4599120429402,-117.933836458882
108971,Destroyed (>50%),2076.0,El Molino,Avenue,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Asphalt,Unknown,Unknown,Stucco Brick Cement,Single Pane,Masonry/Concrete,Masonry/Concrete,No Patio Cover/Carport,Combustible,,,270606.0,1926.0,"2076 EL MOLINO AVE, ALTADENA, CA 91001",34.1811457,-118.1355075
39391,Destroyed (>50%),643.0,Circlewood ,Drive,Paradise Central Southwest A,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Combustible,Multi Pane,Wood,No Deck/Porch,Combustible,Combustible,,<30',125842.0,1990.0,643  CIRCLEWOOD DR   PARADISE CA 95969,39.7438234177412,-121.631447986449
91088,No Damage,1250.0,Barrett Lake ,Road,Jamul,CA,91935.0,MVU,San Diego,,8/31/2022 12:00:00 AM,Fire,,Mobile Home Single Wide,Single Residence,,Metal,No Eaves,No Vents,Metal,Single Pane,No Deck/Porch,Wood,Combustible,No Fence,,,0.0,0.0,BARRETT LAKE RD JAMUL 91935 CA,32.62276991,-116.68992908
22041,No Damage,1044.0,Forest ,Way,,CA,,CZU,Santa Cruz,Boulder Creek ,8/16/2020 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,134068.0,1927.0,1044 FOREST WAY BOULDER CREEK CA 95006,37.1054679098597,-122.107723229195
116212,Destroyed (>50%),243.0,E Las Flores,Drive,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unknown,"Mesh Screen > 1/8""""",Stucco Brick Cement,Unknown,Masonry/Concrete,Masonry/Concrete,Combustible,Combustible,,<30',700000.0,1958.0,"243 E LAS FLORES DR, ALTADENA, CA 91001",34.1979812,-118.1402957
105893,Destroyed (>50%),1334.0,E Loma Alta,Drive,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,Unknown,Single Family Residence Multi Story,Single Residence,0.0,Tile,Enclosed,"Mesh Screen <= 1/8""""",Wood,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,,,51337.0,1948.0,"1334 E LOMA ALTA DR, ALTADENA, CA 91001",34.1959998,-118.1215572
131259,No Damage,15944.0,Temecula,Street,Pacific Palisades,CA,90272.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,,,36021.0,1940.0,"15944 TEMECULA ST, PACIFIC PALISADES, CA 90272",34.044651,-118.5353864
61359,Destroyed (>50%),5401.0,Wilshire ,Drive,Unincorporated,CA,0.0,LNU,Sonoma,Riebli,10/8/2017 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Fire Resistant,Unknown,Unknown,Fire Resistant,Unknown, , , ,,,,247870.0,,5401 WILSHIRE DR SANTA ROSA CA 95404,38.5149831660012,-122.713222963516
