OBJECTID,Damage,Street Name,"Street Type (e.g. road, drive, lane, etc.)",City,Zip Code,CAL FIRE Unit,County,Incident Start Date,Structure Type,Structure Category,Roof Construction,Eaves,Exterior Siding,Window Pane,Deck/Porch On Grade,Deck/Porch Elevated,Patio Cover/Carport Attached to Structure,Fence Attached to Structure,Assessed Improved Value (parcel),Year Built (parcel),Latitude,Longitude,Daily Incident Count,Dist to Station km,Fire Risk Score,Accessibility Risk
61052,Destroyed (>50%),Wallace,Road,Unincorporated,95404,lnu,Sonoma,2017-10-08,single family residence single story,Single Residence,Fire Resistant,Unenclosed,Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,237789,1970,38.5030206939554,-122.687841387658,176,6.484803949725054,6.6707361788614605,2.850756544679611
13352,Destroyed (>50%),Saint Helena,Road,Santa Rosa,95404,lnu,Sonoma,2020-09-27,single family residence single story,Single Residence,Asphalt,Unenclosed,Stucco/Brick/Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,785502,1980,38.5263354105861,-122.612379643806,34,9.024013831900213,7.547062495953661,2.9334097402508204
90182,No Damage,255,Road,North Fork,93643,mmu,Madera,2022-09-07,single family residence single story,Single Residence,Metal,Unenclosed,Wood,Single Pane,Wood,No Deck/Porch,Combustible,No Fence,43744,1926,37.22140992,-119.48975809,14,1.3256455939150775,1.273619025970973,1.5546984257459655
112973,No Damage,Figueroa,Drive,Altadena,91001,lac,Los Angeles,2025-01-07,infrastructure,Infrastructure,Asphalt,Unenclosed,Stucco/Brick/Cement,No Windows,No Deck/Porch,No Deck/Porch,Combustible,No Fence,10,1950,34.1877805,-118.1556315,953,0.6296752215965624,0.8417498261755294,2.5600863079872522
25386,Destroyed (>50%),Big Basin,Way,Boulder Creek,95006,czu,Santa Cruz,2020-08-16,single family residence single story,Single Residence,Asphalt,Unenclosed,Wood,Single Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,No Fence,128694,1941,37.1661502928607,-122.166234869462,175,2.347109964727991,4.07222543617006,1.8341657191090175
126015,No Damage,Akron,Street,Pacific Palisades,90272,lac,Los Angeles,2025-01-07,utility misc structure,Other Minor Structure,Asphalt,Enclosed,Stucco/Brick/Cement,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,334617,1948,34.0512503,-118.5422258,611,3.960155821565712,2.122256603371995,2.501829295169113
56174,No Damage,Capell Cross,Road,Paradise,95969,btu,Butte,2018-11-08,single family residence single story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,145000,1957,39.7451493531723,-121.574187075942,1285,1.7357169034218702,1.7125345757301738,3.222682842119673
80524,No Damage,Sayles Canyon,Trail,Twin Bridges,95735,aeu,El Dorado,2021-08-14,single family residence single story,Single Residence,Metal,Unenclosed,Wood,Single Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,43028,1974,38.8035989373137,-120.109763334526,60,5.547729893990028,2.2834843128697404,2.0915503885656777
105474,Destroyed (>50%),W Mendocino,Street,Altadena,91001,lac,Los Angeles,2025-01-07,single family residence single story,Single Residence,Asphalt,Unenclosed,Wood,Single Pane,No Deck/Porch,No Deck/Porch,Combustible,No Fence,81879,1922,34.1938416,-118.1575549,953,0.130271479508225,0.9316353463225153,2.377163673094571
127973,Destroyed (>50%),Chautauqua,Boulevard,Pacific Palisades,90272,lac,Los Angeles,2025-01-07,single family residence single story,Single Residence,Tile,No Eaves,Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,1231938,2008,34.0477682,-118.5163911,611,5.242313053812632,6.058314178846624,2.54356447949313
10511,No Damage,Rancho Los Guilicos,Road,Santa Rosa,95409,lnu,Sonoma,2020-09-27,utility misc structure,Other Minor Structure,Other,No Eaves,Other,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,5000000,2008,38.4397653663709,-122.577964433381,105,0.3364589317213801,0.8786928862690867,2.6506232800843237
92654,No Damage,Darrah,Road,Mariposa,95338,mmu,Mariposa,2022-07-22,single family residence multi story,Single Residence,Metal,Unenclosed,Wood,Multi Pane,Masonry/Concrete,Wood,Combustible,No Fence,280000,1979,37.49260085,-119.86948671,53,3.441934012471136,1.848888884988726,1.6235852089031573
70390,Destroyed (>50%),Greene,Street,Unincorporated,90049,lnu,Sonoma,2017-10-08,utility misc structure,Other Minor Structure,Fire Resistant,Unenclosed,Fire Resistant,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,178517,1981,38.4185110586248,-122.556913779239,103,3.30938403653583,4.971054295210163,2.9140608997280224
128982,Destroyed (>50%),Monument,Street,Pacific Palisades,90272,lac,Los Angeles,2025-01-07,single family residence multi story,Single Residence,Asphalt,Unenclosed,Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,Combustible,Combustible,118817,1946,34.0500835,-118.5252551,611,4.593559865675822,5.657287192883041,2.522447074227448
13536,No Damage,N Pythian,Road,Kenwood,95409,lnu,Sonoma,2020-09-27,utility misc structure,Other Minor Structure,Asphalt,Unenclosed,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,242609,1899,38.448750795252,-122.574230596683,105,0.8023122228634374,1.1777397671814542,2.665787155843689
53205,No Damage,Pentz,Road,Paradise,95969,btu,Butte,2018-11-08,single family residence single story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,79980,1980,39.7727633455143,-121.60042689234,1285,1.646176573509128,1.6792568480019547,3.219768236890802
28804,Destroyed (>50%),Vista Knolls,Drive,Paradise Southeast A,95969,btu,Butte,2018-11-08,single family residence single story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,Non Combustible,66647,1964,39.7669702443583,-121.585757789128,1285,2.0918916143107955,4.092490281867997,3.567609930755897
62832,Destroyed (>50%),Turnberry,Court,Santa Rosa,95403,lnu,Sonoma,2017-10-08,single family residence multi story,Single Residence,Fire Resistant,Unenclosed,Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,608612,1988,38.4960091570524,-122.705859357249,261,5.117438506975839,5.993719760752169,3.139581102212162
88190,No Damage,Oakmont,Trail,Redding,96003,shu,Shasta,2021-09-22,single family residence single story,Single Residence,Asphalt,Unenclosed,Stucco/Brick/Cement,Multi Pane,Composite,No Deck/Porch,No Patio Cover/Carport,Non Combustible,270000,1981,40.6882973236947,-122.321248597759,52,6.677469685874872,2.682948969546982,3.442485898936958
77574,No Damage,Dotta Guidici,Road,Chilcoot,96105,lmu,Plumas,2021-07-04,utility misc structure,Other Minor Structure,Metal,Unenclosed,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,195358,1986,39.8383140930728,-120.156494756516,2,25.1420423064658,3.682377264303515,2.475406152492345
103884,No Damage,Monte,Place,Arcadia,91006,lac,Los Angeles,2025-01-07,single family residence multi story,Single Residence,Tile,Enclosed,Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,Non Combustible,441495,1976,34.1770168,-118.022608,12,4.452938880292071,2.188594164399742,2.6845364218280814
53730,No Damage,Babson,Court,Unincorporated,95954,btu,Butte,2018-11-08,single family residence single story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,200000,1983,39.801263666662,-121.601041493606,250,1.9788812774243238,1.797688872067845,3.5639313591097266
10626,No Damage,Malita,Court,Santa Rosa,95409,lnu,Sonoma,2020-09-27,single family residence single story,Single Residence,Asphalt,Unenclosed,Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,563990,1999,38.4547501542099,-122.63190750532,105,4.7879565592186815,2.3878910069632204,3.128856216468639
10344,No Damage,Mountain Hawk,Drive,Santa Rosa,95409,lnu,Sonoma,2020-09-27,single family residence multi story,Single Residence,Asphalt,Unenclosed,Wood,Multi Pane,Wood,Wood,No Patio Cover/Carport,Combustible,760211,2001,38.4670953278716,-122.634471528007,105,5.53187147985133,2.4369828673054954,3.1530712078543526
2201,Destroyed (>50%),Bromilow,Lane,Aguanga,95916,btu,Butte,2020-09-09,mobile home double wide,Single Residence,Metal,Unenclosed,Wood,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,18262,1900,39.6339583300593,-121.400562157589,144,2.7135950709722376,4.780340538231638,3.5878468468735663
35346,Destroyed (>50%),Skyway,Other,Paradise Northwest A,95969,btu,Butte,2018-11-08,utility misc structure,Other Minor Structure,Metal,No Eaves,Ignition Resistant,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,71273,1976,39.7849863930619,-121.597696212404,1285,0.620231900329397,2.1104065691814897,3.3530396311489805
124148,No Damage,Cumbre Alta,Court,Pacific Palisades,90272,lac,Los Angeles,2025-01-07,single family residence multi story,Single Residence,Tile,Unenclosed,Stucco/Brick/Cement,Multi Pane,No Deck/Porch,Masonry/Concrete,Combustible,Non Combustible,1375915,1998,34.0684386,-118.5543735,611,2.060796500265488,1.6111146332721873,2.606670384302604
128915,No Damage,Alta Mura,Road,Pacific Palisades,90272,lac,Los Angeles,2025-01-07,single family residence multi story,Single Residence,Tile,Unenclosed,Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,Non Combustible,1074570,1972,34.062245,-118.5040023,611,4.93796833406533,2.273806500540523,2.3669911628016176
